ID,Incident Date,Incident Date Text,State,City Or County,Address,,Killed,,,Injured,,longitude,latitude,victim,radius,popup
321,2/6/2016,6-Feb,Florida,Tampa,8123 N Nebraska Ave,Number killed:,2,Number killed: 2,Number injured:,6,Number injured: 6,-82.45126,28.021578,8,7.980868845,"02-06, 8123 N Nebraska Ave, Tampa, Florida, Number killed: 2, Number injured: 6"
324,1/30/2016,30-Jan,Arizona,Glendale,67th and Missouri Avenue,Number killed:,3,Number killed: 3,Number injured:,5,Number injured: 5,-112.181991,33.517004,8,7.980868845,"01-30, 67th and Missouri Avenue, Glendale, Arizona, Number killed: 3, Number injured: 5"
18,10/30/2016,30-Oct,New York,Newburgh,119 Broadway,Number killed:,2,Number killed: 2,Number injured:,5,Number injured: 5,-74.01193,41.50006,7,7.465419216,"10-30, 119 Broadway, Newburgh, New York, Number killed: 2, Number injured: 5"
28,10/22/2016,22-Oct,California,Oakland,77th and Bancroft Avenues,Number killed:,0,Number killed: 0,Number injured:,7,Number injured: 7,-122.174469,37.76429,7,7.465419216,"10-22, 77th and Bancroft Avenues, Oakland, California, Number killed: 0, Number injured: 7"
34,10/14/2016,14-Oct,Illinois,Chicago,3300 block of Maypole,Number killed:,1,Number killed: 1,Number injured:,6,Number injured: 6,-87.708517,41.884038,7,7.465419216,"10-14, 3300 block of Maypole, Chicago, Illinois, Number killed: 1, Number injured: 6"
46,9/26/2016,26-Sep,Texas,Houston,5450 Weslayan St,Number killed:,1,Number killed: 1,Number injured:,6,Number injured: 6,-95.44132,29.72362,7,7.465419216,"09-26, 5450 Weslayan St, Houston, Texas, Number killed: 1, Number injured: 6"
56,9/17/2016,17-Sep,Florida,Orlando,3918 Columbia Street,Number killed:,1,Number killed: 1,Number injured:,6,Number injured: 6,-81.42425,28.526989,7,7.465419216,"09-17, 3918 Columbia Street, Orlando, Florida, Number killed: 1, Number injured: 6"
59,9/16/2016,16-Sep,Pennsylvania,Philadelphia,5100 block of Sansom Street,Number killed:,2,Number killed: 2,Number injured:,5,Number injured: 5,-75.22353,39.957485,7,7.465419216,"09-16, 5100 block of Sansom Street, Philadelphia, Pennsylvania, Number killed: 2, Number injured: 5"
85,8/27/2016,27-Aug,Alabama,Bessemer (Brighton),3810 7th Ave,Number killed:,1,Number killed: 1,Number injured:,6,Number injured: 6,-86.95097,33.441498,7,7.465419216,"08-27, 3810 7th Ave, Bessemer (Brighton), Alabama, Number killed: 1, Number injured: 6"
106,8/8/2016,8-Aug,Florida,Jacksonville,1214 Labelle St,Number killed:,0,Number killed: 0,Number injured:,7,Number injured: 7,-81.731964,30.301483,7,7.465419216,"08-08, 1214 Labelle St, Jacksonville, Florida, Number killed: 0, Number injured: 7"
123,7/29/2016,29-Jul,Georgia,Athens,Trail Creek Street,Number killed:,0,Number killed: 0,Number injured:,7,Number injured: 7,-83.356952,33.96603,7,7.465419216,"07-29, Trail Creek Street, Athens, Georgia, Number killed: 0, Number injured: 7"
138,7/17/2016,17-Jul,Louisiana,Baton Rouge,9611 Airline Highway,Number killed:,4,Number killed: 4,Number injured:,3,Number injured: 3,-91.08186,30.43345,7,7.465419216,"07-17, 9611 Airline Highway, Baton Rouge, Louisiana, Number killed: 4, Number injured: 3"
161,7/4/2016,4-Jul,New York,Brooklyn,419 Chauncey Street,Number killed:,0,Number killed: 0,Number injured:,7,Number injured: 7,-73.91755,40.681774,7,7.465419216,"07-04, 419 Chauncey Street, Brooklyn, New York, Number killed: 0, Number injured: 7"
177,6/25/2016,25-Jun,Texas,Fort Worth,2466 East Lancaster Avenue,Number killed:,2,Number killed: 2,Number injured:,5,Number injured: 5,-97.352776,32.74715,7,7.465419216,"06-25, 2466 East Lancaster Avenue, Fort Worth, Texas, Number killed: 2, Number injured: 5"
210,6/5/2016,5-Jun,Arizona,Phoenix,8152 N Black Canyon Hwy,Number killed:,2,Number killed: 2,Number injured:,5,Number injured: 5,-112.11303,33.556202,7,7.465419216,"06-05, 8152 N Black Canyon Hwy, Phoenix, Arizona, Number killed: 2, Number injured: 5"
264,4/17/2016,17-Apr,Texas,Edinburg,5021 W St Hwy 107,Number killed:,1,Number killed: 1,Number injured:,6,Number injured: 6,-98.217436,26.310228,7,7.465419216,"04-17, 5021 W St Hwy 107, Edinburg, Texas, Number killed: 1, Number injured: 6"
291,3/6/2016,6-Mar,Massachusetts,Chelsea,120 Washington Avenue,Number killed:,1,Number killed: 1,Number injured:,6,Number injured: 6,-71.03184,42.39677,7,7.465419216,"03-06, 120 Washington Avenue, Chelsea, Massachusetts, Number killed: 1, Number injured: 6"
12,11/1/2016,1-Nov,Tennessee,Memphis,5200 block of Zodiac Rd,Number killed:,1,Number killed: 1,Number injured:,5,Number injured: 5,-89.95926,35.006207,6,6.911635164,"11-01, 5200 block of Zodiac Rd, Memphis, Tennessee, Number killed: 1, Number injured: 5"
16,10/30/2016,30-Oct,Maryland,Capitol Heights,6860 Walker Mill Road,Number killed:,2,Number killed: 2,Number injured:,4,Number injured: 4,-76.88954,38.87,6,6.911635164,"10-30, 6860 Walker Mill Road, Capitol Heights, Maryland, Number killed: 2, Number injured: 4"
23,10/28/2016,28-Oct,Mississippi,Jackson,200 block of Lorenz Boulevard,Number killed:,0,Number killed: 0,Number injured:,6,Number injured: 6,-90.18202,32.333903,6,6.911635164,"10-28, 200 block of Lorenz Boulevard, Jackson, Mississippi, Number killed: 0, Number injured: 6"
27,10/23/2016,23-Oct,Oklahoma,Wellston,Highway 66 and S. 3310 Road,Number killed:,1,Number killed: 1,Number injured:,5,Number injured: 5,-97.080646,35.681226,6,6.911635164,"10-23, Highway 66 and S. 3310 Road, Wellston, Oklahoma, Number killed: 1, Number injured: 5"
