Id,Code,State,Race,Deaths,Population,CrudeRate
9,DC,District of Columbia,Black,1950,5317597,36.67
10,FL,Florida,Black,7701,47278547,16.29
11,GA,Georgia,Black,6658,45134092,14.75
12,HI,Hawaii,Black,12,565140,2.12
13,ID,Idaho,Black,12,205192,5.85
14,IL,Illinois,Black,8161,31214330,26.15
15,IN,Indiana,Black,2878,9666134,29.77
16,IA,Iowa,Black,142,1499342,9.47
17,KS,Kansas,Black,708,2953469,23.97
18,KY,Kentucky,Black,994,5514868,18.02
19,LA,Louisiana,Black,6634,23686077,28.01
20,ME,Maine,Black,15,258597,5.8
21,MD,Maryland,Black,5632,27211400,20.7
22,MA,Massachusetts,Black,906,8064017,11.24
23,MI,Michigan,Black,7178,23736350,30.24
24,MN,Minnesota,Black,588,4359875,13.49
25,MS,Mississippi,Black,3245,17383791,18.67
26,MO,Missouri,Black,3587,11269277,31.83
27,MT,Montana,Black,13,102188,12.72
28,NE,Nebraska,Black,327,1414685,23.11
29,NV,Nevada,Black,736,3515645,20.93
31,NJ,New Jersey,Black,3232,20888057,15.47
32,NM,New Mexico,Black,143,839001,17.04
33,NY,New York,Black,6029,55993155,10.77
34,NC,North Carolina,Black,4835,32202573,15.01
35,ND,North Dakota,Black,10,147318,6.79
36,OH,Ohio,Black,4915,23366771,21.03
37,OK,Oklahoma,Black,1103,4872360,22.64
38,OR,Oregon,Black,168,1364324,12.31
39,PA,Pennsylvania,Black,6341,22877107,27.72
40,RI,Rhode Island,Black,107,1254562,8.53
41,SC,South Carolina,Black,3208,20508992,15.64
42,SD,South Dakota,Black,13,183049,7.1
43,TN,Tennessee,Black,3737,16780320,22.27
44,TX,Texas,Black,6417,46766403,13.72
45,UT,Utah,Black,41,564041,7.27
47,VA,Virginia,Black,3861,25122720,15.37
48,WA,Washington,Black,545,4541622,12
49,WV,West Virginia,Black,188,1076507,17.46
50,WI,Wisconsin,Black,1292,5899769,21.9
1,AL,Alabama,White,8211,53132076,15.45
2,AK,Alaska,White,1240,7836470,15.82
3,AZ,Arizona,White,12957,82911988,15.63
4,AR,Arkansas,White,5406,36900812,14.65
5,CA,California,White,38306,445920851,8.59
6,CO,Colorado,White,7983,69238491,11.53
7,CT,Connecticut,White,2112,47617062,4.44
8,DE,Delaware,White,825,10219210,8.07
9,DC,District of Columbia,White,113,3752701,3.01
10,FL,Florida,White,25773,231314684,11.14
11,GA,Georgia,White,12013,95972543,12.52
12,HI,Hawaii,White,317,6357635,4.99
13,ID,Idaho,White,2844,22489721,12.65
14,IL,Illinois,White,9630,161112430,5.98
15,IN,Indiana,White,8598,89715966,9.58
16,IA,Iowa,White,3129,45410477,6.89
17,KS,Kansas,White,4001,39923464,10.02
18,KY,Kentucky,White,8132,61155689,13.3
19,LA,Louisiana,White,6782,46764264,14.5
20,ME,Maine,White,1802,20385159,8.84
21,MD,Maryland,White,4086,57412969,7.12
22,MA,Massachusetts,White,2515,89767462,2.8
23,MI,Michigan,White,10280,130305881,7.89
24,MN,Minnesota,White,4787,74020519,6.47
25,MS,Mississippi,White,4757,28640317,16.61
26,MO,Missouri,White,8863,79993076,11.08
27,MT,Montana,White,2224,14038807,15.84
28,NE,Nebraska,White,2007,26233653,7.65
29,NV,Nevada,White,5220,32141852,16.24
30,NH,New Hampshire,White,1430,19921590,7.18
31,NJ,New Jersey,White,3651,106139480,3.44
32,NM,New Mexico,White,4330,26728294,16.2
33,NY,New York,White,9527,226515261,4.21
34,NC,North Carolina,White,12724,106082159,11.99
35,ND,North Dakota,White,901,9792043,9.2
36,OH,Ohio,White,12459,156550387,7.96
37,OK,Oklahoma,White,6547,46379361,14.12
38,OR,Oregon,White,6182,53908306,11.47
39,PA,Pennsylvania,White,14609,171705278,8.51
40,RI,Rhode Island,White,595,14983263,3.97
41,SC,South Carolina,White,6715,48497162,13.85
42,SD,South Dakota,White,1038,11214459,9.26
43,TN,Tennessee,White,11092,79035416,14.03
44,TX,Texas,White,33073,312938797,10.57
45,UT,Utah,White,3949,38520915,10.25
46,VT,Vermont,White,923,9641173,9.57
47,VA,Virginia,White,9281,90542052,10.25
48,WA,Washington,White,8348,87850934,9.5
49,WV,West Virginia,White,4004,27942325,14.33
50,WI,Wisconsin,White,5988,80271799,7.46
51,WY,Wyoming,White,1324,8122977,16.3
