Id,State,Year,Rate
18,Kentucky,2003,13.6
19,Louisiana,2003,18.73
20,Maine,2003,6.28
21,Maryland,2003,11.79
22,Massachusetts,2003,3.18
23,Michigan,2003,10.26
24,Minnesota,2003,6.57
25,Mississippi,2003,16.63
26,Missouri,2003,11.51
27,Montana,2003,15.77
28,Nebraska,2003,7.71
29,Nevada,2003,16.63
30,New Hampshire,2003,6.95
31,New Jersey,2003,5.32
32,New Mexico,2003,17.36
33,New York,2003,5.39
34,North Carolina,2003,12.53
35,North Dakota,2003,9.08
36,Ohio,2003,8.17
37,Oklahoma,2003,12.81
38,Oregon,2003,11.13
39,Pennsylvania,2003,9.94
40,Rhode Island,2003,3.27
41,South Carolina,2003,14.29
42,South Dakota,2003,9.95
43,Tennessee,2003,14.31
44,Texas,2003,11.04
45,Utah,2003,9.75
46,Vermont,2003,7.77
47,Virginia,2003,11.01
48,Washington,2003,9.26
49,West Virginia,2003,14.62
50,Wisconsin,2003,8.54
51,Wyoming,2003,17.68
1,Alabama,2004,14.99
2,Alaska,2004,17.75
3,Arizona,2004,15.87
4,Arkansas,2004,14.77
5,California,2004,9.32
6,Colorado,2004,12.09
7,Connecticut,2004,4.95
8,Delaware,2004,9.03
9,District of Columbia,2004,25.19
10,Florida,2004,10.85
11,Georgia,2004,12.11
12,Hawaii,2004,3.22
13,Idaho,2004,12.72
14,Illinois,2004,7.9
15,Indiana,2004,10.25
16,Iowa,2004,6.6
17,Kansas,2004,10.75
18,Kentucky,2004,13.29
19,Louisiana,2004,19.81
20,Maine,2004,8.22
21,Maryland,2004,11.83
22,Massachusetts,2004,3.21
23,Michigan,2004,10.42
24,Minnesota,2004,7.13
25,Mississippi,2004,16.3
26,Missouri,2004,11.55
27,Montana,2004,13.44
28,Nebraska,2004,6.8
29,Nevada,2004,16.71
30,New Hampshire,2004,5.35
31,New Jersey,2004,5.26
32,New Mexico,2004,15.18
33,New York,2004,4.96
34,North Carolina,2004,12.33
35,North Dakota,2004,7.76
36,Ohio,2004,9.05
37,Oklahoma,2004,12.96
